Job Title;Company Name;Job City;Job Rating;Job Post Date
Principal Data Scientist;HBO Max;Burbank;None;30+
Data Scientist I;Jet Propulsion Laboratory;Pasadena;4.2;30+
C-17 Data Scientist;BOEING;Long Beach;4.0;9
Data Scientist;Quibi - Los Angeles;Los Angeles;None;13
Senior Data Scientist;GOAT;Los Angeles;2.8;16
Fandango-Data Scientist;NBCUniversal;Beverly Hills;4.0;30+
Senior Data Scientist;Southern California Edison;Pomona;4.0;1
Data Scientist;Harbor Freight Tools USA, Inc.;Calabasas;3.4;26
Data Scientist Intern;NBCUniversal;Beverly Hills;4.0;6
Data Scientist, Analytics;Quibi - Los Angeles;Los Angeles;None;30+
Data Scientist II;L.A. Care Health Plan;Los Angeles;3.2;16
Data Scientist;AvantStay;Los Angeles;None;30+
Sr. Data Scientist;Pacific Life;Newport Beach;3.8;Today
Data Scientist;Starz;Santa Monica;4.3;7
Data Scientist;BlackLine;Woodland Hills;3.7;5
Data Scientist;USC;Los Angeles;4.2;30+
Senior Data Analyst;MediaCom;Los Angeles;3.2;Just
Data Scientist, Analytics (AR/VR);Facebook;Los Angeles;4.2;30+
Data Scientist;CorVel Enterprise Comp, Inc.;Irvine;None;15
Data Scientist;D Cube Analytics;Los Angeles;None;30+
Data Scientist 5+ Years Experience, Los Angeles;Snapchat;Los Angeles;3.4;2
Industrial Data Scientist and Developer;ThinkIQ;Aliso Viejo;None;26
Data Scientist/Lead Data Scientist - LA;BlueLabs Analytics;Los Angeles;None;30+
Data Scientist - Disney+;Disney Streaming Services;Glendale;3.1;30+
Data Scientist;Nexstar Broadcasting;Los Angeles;3.0;19
Data Scientist;Beyond Limits;Glendale;3.8;30+
Data Scientist, Analytics;NEXT Trucking;Los Angeles;2.0;30+
Data Scientist / Machine Learning Scientist;Kernel;Culver City;3.8;30+
Data Scientist - Nationwide Opportunities;Amazon Web Services, Inc.;Santa Monica;3.6;9
Product Data Scientist;Snapchat;Los Angeles;3.4;15
Data Scientist;NBCUniversal;Beverly Hills;4.0;30+
Data Analytics and Data Science Internship, Summer 2020 (Los...;IPG Mediabrands;Los Angeles;3.7;8
Data Scientist;Supplyframe;Los Angeles;2.5;30+
Data Scientist;Ipsos North America;Culver City;3.7;30+
Senior Data Scientist;ServiceTitan;Los Angeles;3.6;2
Data Scientist;Clicktripz;Manhattan Beach;None;30+
Director, AI & ML Data Science;Warner Bros. Entertainment Group;Burbank;4.2;30+
Distinguished Data Scientist;Verizon;Irvine;3.9;30+
Physics Data Scientist;TAE Technologies, Inc.;Foothill Ranch;None;30+
Sr. Data Scientist;PARACHUTE HOME;Los Angeles;None;30+
Physics Data Scientist;TAE TECHNOLOGIES;Foothill Ranch;None;30+
Principal Data Scientist- Valuation;First American;Santa Ana;3.8;Today
Data and Machine Learning Scientist;Amgen;Thousand Oaks;4.1;30+
Data Scientist;First American;Santa Ana;3.8;30+
Sr. Data Scientist - MI3;CHOC Children's;Orange;4.1;30+
Data Scientist;FanAI;Santa Monica;None;30+
Intern, Data Science (Summer 2020);Ticketmaster;Hollywood;3.9;11
Data Scientist;Glo;Santa Monica;4.4;30+
Applied Data Scientist;Virgin Hyperloop One;Los Angeles;3.8;30+
Senior Business Data Analyst;Intuit;Woodland Hills;4.2;Today
Associate Director, Data Scientist;OMD;Burbank;3.8;27
Data Scientist - NLP;Amazon.com Services, Inc.;Irvine;3.6;30+
Data Scientist;West Coast University;Irvine;3.7;23
Director, Data Scientist;Viacom;Los Angeles;4.0;30+
Data Scientist, Engineering;NEXT Trucking;Los Angeles;2.0;30+
Data Scientist;American Career College;Irvine;3.9;23
Senior Data Scientist;Confie;Huntington Beach;None;30+
Senior Data Scientist;true[x];Los Angeles;None;18
Senior Data Scientist;Twentieth Century Fox;Los Angeles;4.1;19
Senior Data Scientist;Cylance, Inc.;Irvine;3.5;27
Data Scientist / Sr. Data Scientist;Blizzard Entertainment;Irvine;4.0;19
Data Scientist - HCI;SCAN Group;Long Beach;None;30+
Staff Machine Learning Engineer;Intuit;Los Angeles;4.2;5
Data Sciences Senior Associate;Amgen;Thousand Oaks;4.1;7
Data Scientist II;Amazon.com Services LLC;Culver City;3.6;21
Sr Data Scientist;Mattel;El Segundo;4.0;30+
Senior Data Scientist;Ticketmaster;Hollywood;3.9;11
Senior Data Scientist;Amgen;Thousand Oaks;4.1;30+
Applied Scientist;Amazon.com Services LLC;Manhattan Beach;3.6;Just
Clinical Data Scientist;Pfizer;Los Angeles;4.2;30+
Senior Consultant – Data Scientist (Python, VBA, Excel);Deloitte;Los Angeles;4.0;30+
Data and Policy Analyst - Statistical Programmer;Acumen LLC;Los Angeles;3.5;30+
Computer Scientist - NLP & Machine Learning;USC;Marina del Rey;4.2;1
Principal Data Scientist, Analytics;NEXT Trucking;Los Angeles;2.0;30+
Senior Data Scientist;BlackBerry;Irvine;4.0;30+
Content Data Scientist, Apple Media Products Data Science;Apple;Culver City;4.2;30+
Director, Data Science;RepairSmith;Los Angeles;None;8
Sr Data Scientist, Disney+ Analytics;Disney Streaming Services;Glendale;3.1;22
Senior Data Scientist;Internet Brands;Los Angeles;None;30+
Senior Data Scientist;Fox Corporation;Playa Vista;4.0;20
Data Scientist;MCR, LLC.;El Segundo;3.4;30+
Data Scientist, Research;NEXT Trucking;Los Angeles;2.0;30+
Senior Data Scientist;First American;Santa Ana;3.8;30+
Senior Data Scientist - Nationwide Opportunities;Amazon Web Services, Inc.;Santa Monica;3.6;9
Senior Data Analyst;GOAT;Los Angeles;2.8;30+
Sr. Data Scientist;VSolvit LLC;Norco;3.2;30+
Lead Data Scientist;Dave;Los Angeles;None;30+
Senior Data Scientist, Analytics;NEXT Trucking;Los Angeles;2.0;30+
VP, Data Science;HBO Max;Burbank;None;30+
Data Science Business Analyst;Retina AI;Santa Monica;None;30+
Senior Research Data Scientist;Jet Propulsion Laboratory;Pasadena;4.2;30+
Statistician;SO CAL FCA BASEBALL;La Mirada;None;30+
Programmer Analyst, Data Science;Houlihan Lokey;Los Angeles;3.8;30+
Beyonders 2020 Summer Program - Data Science;Beyond Limits;Glendale;3.8;30+
Data and Machine Learning Principal Scientist;Amgen;Thousand Oaks;4.1;30+
Machine Learning Engineer;Avant Leap;Irvine;None;30+
Statistician I;USC;Los Angeles;4.2;30+
Data Scientist Research Programmer;RAND Corporation;Santa Monica;3.9;30+
Data Engineer;Deep 6 AI;Pasadena;None;30+
Machine Learning Engineer - Soccer;Second Spectrum;Los Angeles;4.3;30+
Senior Data Analyst;The Black Tux;Santa Monica;3.2;30+
Beyonders 2020 Summer Program - Data Science;Beyond Limits;Glendale;3.8;30+
Machine Learning Engineer;Avant Leap;Irvine;None;30+
Principal Data Scientist;SAP;Newport Beach;4.3;30+
Data Engineer;Deep 6 AI;Pasadena;None;30+
Data Science Intern - Summer 2020;BlackBerry;Irvine;4.0;7
Senior Data Scientist;MCR, LLC.;El Segundo;3.4;30+
Pr. Data Engineer;Medtronic;Northridge;3.9;1
Applied Scientist, Alexa AI;Amazon.com Services, Inc.;Manhattan Beach;3.6;30+
Machine Learning Engineer - Soccer;Second Spectrum;Los Angeles;4.3;30+
Data Science Analyst;Tecolote Research, Inc.;El Segundo;4.4;30+
Machine Learning Research Scientist - Mapping;Aptiv;Santa Monica;4.1;30+
Machine Learning Inference Engineer;Aptiv;Santa Monica;4.1;2
Senior Data Analyst;Modcloth;Los Angeles;3.1;30+
Manager, Data Scientist, Natural Language Processing (NLP);KPMG;Irvine;4.0;30+
Senior Machine Learning Engineer;Intuit;Woodland Hills;4.2;Today
Python/Science Data Developer;Science System and Applications, Inc.;Pasadena;4.3;30+
Senior Data Scientist;UCLA Health;Los Angeles;4.1;30+
Machine Learning Research Scientist;Aptiv;Santa Monica;4.1;30+
Data Analyst - Health, Senior;Blue Shield of California;Monterey Park;3.6;30+
Sr. Customer Data Analyst;Farmers Insurance Group;Woodland Hills;3.6;12
Senior Data Analyst;Raytheon;El Segundo;4.0;30+
Statistician;UCLA Health;Los Angeles;4.1;30+
Senior Data Scientist, Engineering;NEXT Trucking;Los Angeles;2.0;30+
Computer Scientist - Machine Learning & Cybersecurity;USC;Marina del Rey;4.2;13
Senior Data Analyst, Disney+ Analytics;Disney Streaming Services;Glendale;3.1;29
Principal Data Scientist, Research;NEXT Trucking;Los Angeles;2.0;30+
Business Insurance Data Scientist Internship- Woodland Hills...;Farmers Insurance Group;Woodland Hills;3.6;30+
Director of Data Science and Analytics - Off-Price;Nordstrom;Los Angeles;3.9;30+
Sr. HRIS Data Analyst;Cedars-Sinai;Beverly Hills;4.2;30+
Solutions Architect, Data Scientist;Onica;Irvine;None;22
Data Science Intern - Summer 2020;Cylance, Inc.;Irvine;3.5;15
Machine Learning Engineer - Intern;Zillow;Irvine;3.8;30+
Senior Data Scientist, Research;NEXT Trucking;Los Angeles;2.0;30+
Machine Learning Intern, Studios - Summer 2020;The Walt Disney Studios;Glendale;4.1;14
Machine Learning Engineer, Spam and Abuse;Snapchat;Los Angeles;3.4;30+
Senior Data Analyst;First American;Santa Ana;3.8;30+
Senior Data Scientist, Growth Marketing Analytics;TrueCar, Inc.;Santa Monica;3.6;30+
Developer III - Data Science;Inland Empire Health Plans;Rancho Cucamonga;3.6;19
Sr. Statistical Analyst;Experian;Costa Mesa;3.7;5
Principal Machine Learning Scientist;Hulu;Santa Monica;3.9;30+
Data Analyst - Costa Mesa;Veritone;Costa Mesa;3.3;30+
Senior Data Analyst;Universal Music Group;Woodland Hills;4.2;30+
Data Analyst, Sr;loanDepot;Irvine;3.2;13
Senior Strategic Data Analyst;Brady Corporation;Valencia;3.5;30+
Lead, People Analytics-Data Science;Deloitte;Los Angeles;4.0;30+
Principal Scientist - Modeling & Simulation;Amgen;Thousand Oaks;4.1;22
Senior Data Analyst;Tillster;Los Angeles;2.9;30+
Applied Scientist - Amazon Alexa;Amazon.com Services, Inc.;Manhattan Beach;3.6;30+
Senior Scientist Modeling & Simulation;Amgen;Thousand Oaks;4.1;17
Computer Scientist - Machine Learning & Cybersecurity;USC;Marina del Rey;4.2;13
Senior Associate, Data Scientist, Natural Language Processin...;KPMG;Irvine;4.0;30+
Applied Scientist - Amazon Alexa;Amazon.com Services, Inc.;Manhattan Beach;3.6;30+
Scientist 2, Data Analytics;Areté;Northridge;4.0;30+
Senior Data Analyst;Tillster;Los Angeles;2.9;30+
Principal Machine Learning Scientist;Hulu;Santa Monica;3.9;30+
Senior Strategic Data Analyst;Brady Corporation;Valencia;3.5;30+
Developer III - Data Science;Inland Empire Health Plans;Rancho Cucamonga;3.6;19
Undergrad Intern – SCI (Digital Health & Innovation (Data Sc...;Amgen;Thousand Oaks;4.1;13
Sr. Data Analyst (Pharmacy);Molina Healthcare;Long Beach;3.3;4
Statistical Programmer;Murphy Research;Santa Monica;None;30+
Senior Scientist Global Data Science & Analytics;Abbott Laboratories;Sylmar;4.0;30+
Technical Client Director - Data & Analytics;Neudesic LLC;Irvine;2.9;30+
Language Engineer – Alexa, Echo, Skills, Machine Learning;Amazon.com Services, Inc.;Irvine;3.6;30+
Machine Learning Engineer;Laserfiche;Long Beach;3.3;30+
Data Analyst, Sr.;Honda R&D Americas, Inc.;Torrance;4.0;30+
Project Scientist - Medical Imaging, Deep Learning;Cedars-Sinai;Los Angeles;4.2;30+
Data Science Analyst, Senior/Data Science Analyst, Principal...;Orange County Transportation Authority;Orange;4.0;30+
Senior Business/Data Analyst;Accurate Background;Irvine;3.7;30+
Senior Data Analyst - Data Processing & Coding;Ipsos North America;Culver City;3.7;30+
Group Director, Data Science;OMD;Burbank;3.8;27
Accenture Strategy - Enterprise Data & Analytics Consultant;Accenture;Los Angeles;4.0;15
Senior Data Scientist, Growth Marketing Analytics;TrueCar, Inc.;Santa Monica;3.6;30+
Senior Machine Learning Scientist;Beyond Limits;Glendale;3.8;30+
Director, Consumer Data Science;The Walt Disney Studios;Burbank;4.1;12
Software Engineer – Machine Learning;Lykuid;Costa Mesa;None;27
Senior Customer Data Analyst : 20-00255;Akraya Inc.;Woodland Hills;3.6;7
Senior Data Analyst, Digital Marketing Analytics;Kaiser Permanente;Burbank;4.2;30+
Senior NLP Scientist;GumGum;Santa Monica;3.8;30+
Associate, AI Engineer;KPMG;Irvine;4.0;26
Machine Learning Engineer, AR/VR Discovery and Distribution;Facebook;Los Angeles;4.2;30+
SENIOR STATISTICAL ANALYST;Alto Riot;Los Angeles;None;30+
Senior Machine Learning Engineer;TrueCar, Inc.;Santa Monica;3.6;30+
Software Engineer, Machine Learning 3+ Years Experience - Lo...;Snapchat;Los Angeles;3.4;2
Software Engineer - Machine Learning;Belkin;Torrance;3.7;30+
Specialist - Department of Electrical Engineering and Comput...;The Regents of the University of California;Irvine;3.8;30+
Strategic Analytics Manager;AltaMed Health Services Corporation;Los Angeles;3.6;30+
Machine Learning Engineer, AAG Engineering;Bain & Company Inc;Los Angeles;4.3;30+
Product Manager - Data & Integrations;Retention Science;Santa Monica;5.0;30+
Data Science Specialist;The Aerospace Corporation;El Segundo;4.0;17
Senior Process and Data Analyst – Digital Transformation;Agility Logistics;Los Angeles;3.9;30+
Junior Statistician;UCLA Health;Los Angeles;4.1;7
AI Applied Scientist - Advanced Analytics Group;Capital Group;Los Angeles;3.9;30+
Senior Machine Learning Engineer;Amgen;Thousand Oaks;4.1;19
Artificial Intelligence, Consultant - Applied Artificial Int...;Deloitte;Los Angeles;4.0;30+
Sr. Data Analyst, Ad Operations;System1;Venice;None;30+
Administrative Assistant II - Artificial Intelligence;USC;Marina del Rey;4.2;30+
Mathematician/Numerical Analyst;The Aerospace Corporation;El Segundo;4.0;16
Senior Software Engineer - Data Science;Cylance, Inc.;Irvine;3.5;27
AI Engineer;Operating Company INFINITY WARD, INC.;Woodland Hills;None;30+
PhD Statistician;RAND Corporation;Santa Monica;3.9;30+
Senior Process and Data Analyst – Digital Transformation;Agility Logistics;Los Angeles;3.9;30+
Mathematician/Numerical Analyst;The Aerospace Corporation;El Segundo;4.0;16
Senior Machine Learning Engineer;Amgen;Thousand Oaks;4.1;19
Manager, Medical Device Epidemiology, Real World Data Scienc...;Johnson & Johnson Family of Companies;Irvine;4.2;19
Senior Data Science / Machine Learning Engineer;Direct-to-Consumer and International;Burbank;None;30+
AI Software Engineer;2K Games;Foothill Ranch;3.6;30+
AI Engineer;Operating Company INFINITY WARD, INC.;Woodland Hills;None;30+
Senior Data Analyst - Operations Analyst;Southern California Edison;Rosemead;4.0;30+
Artificial Intelligence, Consultant - Applied Artificial Int...;Deloitte;Los Angeles;4.0;30+
Senior Machine Learning Engineer - Conversational AI;Zillow;Irvine;3.8;30+
Associate Manager Data Science & Analytics;Mattel;El Segundo;4.0;30+
Senior Software Engineer - Data Science;Cylance, Inc.;Irvine;3.5;27
Machine Learning Engineer - Infrastructure;GumGum;Santa Monica;3.8;30+
Member of Technical Staff (IC2) - OCI Data Science;Oracle;Culver City;3.8;30+
Research Engineer, Machine Learning;Snapchat;Los Angeles;3.4;30+
Senior Data Analyst;Epsilon;Costa Mesa;3.4;30+
Machine Learning Software Engineer;Irvine Sensors Corporation;Costa Mesa;3.8;30+
Director of Business Intelligence;Ez Texting;Santa Monica;None;6
