Job Title;Company Name;Job City;Job Rating;Job Post Date
Staff Data Scientist;Intuit;San Diego;4.2;1
Staff Data Scientist - Analytics;Intuit;San Diego;4.2;1
Data Scientist;Veyo Logistics;San Diego;2.3;1
Data Scientist;Viejas Casino & Resort;Alpine;3.4;15
Senior Data Scientist;Intuit;San Diego;4.2;1
Principal Data Scientist;Tandem Diabetes Care, Inc.;San Diego;3.3;5
Sr. Data Scientist;Tandem Diabetes Care, Inc.;San Diego;3.3;4
Data Scientist;Trabus Technologies;San Diego;4.0;1
Data Scientist;ViaSat;Carlsbad;3.8;12
Data Scientist;Epic Games;San Diego;3.5;30+
Data Scientist;Thermo Fisher Scientific;Carlsbad;3.5;30+
Data Analytics Scientist - Scripps Health Plan;Scripps Health;San Diego;4.0;12
Machine Learning Scientist;Amazon.com Services LLC;San Diego;3.6;5
Platform Data Scientist;ServiceNow;San Diego;3.6;9
SSD Data Scientist;Kaiser Permanente;San Diego;4.2;30+
Senior Clinical Data Scientist;Humana;San Diego;3.7;9
Applied Scientist;Amazon.com Services LLC;San Diego;3.6;11
Data Scientist;Broadcom;San Diego;3.9;30+
Intern, Data Scientist;CoreLogic;San Diego;3.4;30+
Economist / Data Scientist;HP;San Diego;4.0;30+
Data Scientist;Cubic Corporation;San Diego;3.8;30+
Senior Data Scientist;ViaSat;Carlsbad;3.8;12
Data Scientist (SAS / R Programmer - Data Mining);Kaiser Permanente;San Diego;4.2;30+
Senior Business Data Analyst;Intuit;San Diego;4.2;1
Lead Data Scientist;ResMed;San Diego;3.7;30+
Data Science - Intern;Thermo Fisher Scientific;Carlsbad;3.5;1
Senior Data Scientist;ResMed;San Diego;3.7;30+
Principal Data Scientist_San Diego;Northrop Grumman;San Diego;4.0;30+
Data Science & Analytics Intern;Cuker;Carlsbad;None;30+
Principal, Data Scientist;CoreLogic;San Diego;3.4;30+
Data Scientist - Deep Learning;CliniComp, Intl.;San Diego;3.5;30+
Machine Learning / Data Scientist Internship (Summer 2020) -...;Mitchell International;San Diego;3.6;26
Clinical Data Scientist / Navigate BioPharma, a Novartis Com...;Novartis;Carlsbad;4.1;30+
Computational Biologist/Data Scientist;Sinopia Biosciences;San Diego;None;30+
Advanced Computer Scientist, Natural Language Processing;SRI International;San Diego;3.7;30+
Machine Learning Engineer;Lytx;San Diego;3.8;30+
Machine Learning / Data Scientist Internship (Summer 2020) -...;Mitchell International, Inc.;San Diego;3.6;30+
Data Science Specialist;Collins Aerospace;Chula Vista;3.7;3
Data Scientist - Assistant Professor - VPA 2020/21 - 54;San Diego State University;San Diego;4.4;30+
Senior Data Analyst;Mitek Systems;San Diego;3.3;30+
Senior Consulting Data Analyst;Kaiser Permanente;San Diego;4.2;30+
Deep Learning, Software Engineer;General Atomics and Affiliated Companies;San Diego;3.9;3
Lead Data Scientist;HP;San Diego;4.0;19
Data Scientist, Senior;Booz Allen Hamilton;San Diego;3.9;30+
Deep Learning Research Engineer - Qualcomm AI Research;Qualcomm;San Diego;4.1;2
Machine Learning Software Engineer – Qualcomm AI Research;Qualcomm;San Diego;4.1;16
Sr Machine Learning Engineer;Intuit;San Diego;4.2;1
Security Data Scientist;Rockstar San Diego;Carlsbad;None;30+
Statistician;Pharmapace;San Diego;None;30+
Senior Data Scientist, Game Analytics;Rockstar New York;Carlsbad;None;30+
Cyber Security Data Scientist University Grad;ViaSat;Carlsbad;3.8;12
Data Scientist, Mid;Booz Allen Hamilton;San Diego;3.9;30+
Senior Data Science Analyst;Petco;San Diego;3.4;30+
Deep Learning Software Engineer;Intel;San Diego;4.1;3
Statistician;Pharmapace;San Diego;None;30+
Clinical Trials Statistician I;USC;San Diego;4.2;30+
Senior Data Analyst;FIS Global;San Diego;3.5;30+
Machine Learning/Artificial Intelligence Program Support Sci...;Booz Allen Hamilton;San Diego;3.9;30+
Bioinformatics Data Scientist Investigator II / III;Novartis;San Diego;4.1;12
Sr. C4I Data Analyst/Engineer;Perspecta;San Diego;3.3;30+
Machine Learning Group Staff Engineer - Automotive;Qualcomm;San Diego;4.1;1
Scientific Software & Data Science Engineer;Ionis Pharmaceuticals, Inc.;Carlsbad;3.9;30+
Deep Learning Research Scientist / Engineer (Deep Learning &...;Samsung Semiconductor, Inc.;San Diego;4.0;30+
SENIOR DATA ENGINEER sought by Mulligan Funding, LLC in San...;Mulligan Funding;San Diego;3.7;9
NLP Engineer;Foresee Medical, Inc.;San Diego;None;30+
Qualcomm Research AI Emulation/Methodology Engineer;Qualcomm;San Diego;4.1;9
Statistician II;WuXi AppTec Inc;San Diego;2.7;11
Data Engineer;CliniComp, Intl.;San Diego;3.5;30+
Computer Vision/Deep Learning Software Engineer;VIATOUCH MEDIA Inc;San Diego;None;30+
2020 Statistics Summer Intern;Johnson & Johnson Family of Companies;La Jolla;4.2;30+
Statistical Programmer I, II, Senior - Clinical Trial Servic...;Oncology & Rare Disease;Carlsbad;None;30+
AI Robotics Systems Test Engineer;SHIELD AI;San Diego;None;30+
Intern, Statistical Analysis, Science and Analytics;CoreLogic;San Diego;3.4;30+
Software Developer in Test – Machine Learning;Qualcomm;San Diego;4.1;30+
AI/Machine Learning Product Management, Staff;Qualcomm;San Diego;4.1;30+
Artificial Intelligence, Consultant - Applied Artificial Int...;Deloitte;San Diego;4.0;30+
Principal Statistician;Pharmapace;San Diego;None;10
IOT AI/Machine Learning Product Management, Director;Qualcomm;San Diego;4.1;12
Sr. Applied Scientist, Alexa;Amazon.com Services LLC;San Diego;3.6;10
Deep Learning Research Scientist / Engineer (Computer Vision...;Samsung Semiconductor, Inc.;San Diego;4.0;30+
AI SW Engineer;Qualcomm;San Diego;4.1;30+
Statistical Analyst/Programmer II;WuXi AppTec Inc;San Diego;2.7;5
SSD Sr Machine Learning Engineer;Kaiser Permanente;San Diego;4.2;30+
Deep Learning Compiler Engineer;Intel;San Diego;4.1;30+
Machine Learning Engineering Manager;Mitchell International, Inc.;San Diego;3.6;30+
Software Design/Development – Firmware Automotive Lead for M...;Qualcomm;San Diego;4.1;3
Principal Statistician, Modeling & Decision Sciences;Johnson & Johnson Family of Companies;San Diego;4.2;30+
Senior Data Science Software Engineer;GreatCall;San Diego;3.5;30+
Senior Deep Learning Engineer (Speech and Language Processin...;Approgence Inc.;San Diego;None;30+
Deep Learning Software Engineer – LLVM based Compiler Tool C...;Qualcomm;San Diego;4.1;30+
Staff Applied Machine Learning Engineer;Sony Electronics Inc;San Diego;4.1;30+
Data Science and Artificial Intelligence Director;CliniComp, Intl.;San Diego;3.5;30+
Machine Learning Engineering Manager;Mitchell International;San Diego;3.6;26
Software Engineer (Computer Vision/Deep Learning);Samsung Semiconductor, Inc.;San Diego;4.0;30+
Senior Software Engineer (Backend Development C++/JAVA Data...;Dassault Systèmes;San Diego;4.0;15
System SW Lead for Machine Learning Solutions;Qualcomm;San Diego;4.1;7
Senior Statistician, Modeling & Decision Sciences;Johnson & Johnson Family of Companies;San Diego;4.2;30+
Sr. Decision Support Services & Statistical Analyst;Arch Health Medical Group;Poway;3.1;30+
Senior Statistician;UC San Diego;San Diego;4.3;30+
Artificial Intelligence, Senior Consultant - Applied Artific...;Deloitte;San Diego;4.0;30+
Senior Deep Learning Engineer (Computer Vision;Approgence Inc.;San Diego;None;30+
Artificial Intelligence, Senior Consultant - Applied Artific...;Deloitte;San Diego;4.0;30+
Sr. Decision Support Services & Statistical Analyst;Arch Health Medical Group;Poway;3.1;30+
Statistical Programmers - Managers & Senior Managers - Clini...;Oncology & Rare Disease;Carlsbad;None;30+
DSP real-time programmer for Computer Vision/Machine Learnin...;Qualcomm;San Diego;4.1;30+
Artificial Intelligence, Consultant - Applied Artificial Int...;Deloitte;San Diego;4.0;30+
Conversational Artificial Intelligence Designer, Manager - A...;Deloitte;San Diego;4.0;30+
Verification Lead Engineer of Ultra Low Power Machine Learni...;Qualcomm;San Diego;4.1;30+
Design Lead Engineer of Ultra Low Power Machine Learning ASI...;Qualcomm;San Diego;4.1;30+
Applied Artificial Intelligence - Artificial Intelligence -...;Deloitte;San Diego;4.0;30+
Artificial Intelligence, Senior Manager - Applied Artificial...;Deloitte;San Diego;4.0;30+
Artificial Intelligence, Senior Consultant - Applied Artific...;Deloitte;San Diego;4.0;30+
Conversational Artificial Intelligence Architect, Manager -...;Deloitte;San Diego;4.0;30+
Full Stack Artificial Intelligence Architect, Manager - Appl...;Deloitte;San Diego;4.0;30+
Artificial Intelligence, Senior Manager - Applied Artificial...;Deloitte;San Diego;4.0;30+
Artificial Intelligence Architect, Manager - Applied Artific...;Deloitte;San Diego;4.0;30+
Data Scientist I;Knowesis Inc.;San Diego;3.8;2
Sr Data Scientist/Analyst;Ameritech Global(ATGTECH);San Diego;None;1
Sr. Data Scientist/Machine Learning Engineer;Lotus InfoTech;San Diego;None;3
Data Scientist;Ezoic;Carlsbad;5.0;30+
Machine Learning Scientist;NIWC Pacific;San Diego;None;2
Data Scientist;Salford Systems;San Diego;None;30+
Data Science;TransVoyant;San Diego;3.6;4
Data Scientist/Finance Cost Specialist;Wiverse;La Jolla;3.2;23
Senior Data Scientist;Parity Computing;San Diego;None;30+
Lead Data Scientist - Computational Pathology;Reveal Biosciences;San Diego;None;1
Senior Data Scientist/Algorithm Engineer;Biolinq;San Diego;None;30+
Senior Data Scientist;GroGuru;La Jolla;None;30+
Senior Data Engineer;Platform Science;San Diego;5.0;5
Machine Learning Intern;NTENT;Carlsbad;3.5;30+
Machine Learning Engineer;Reveal Biosciences;San Diego;None;9
Statistical Programmer;PHASTAR;San Diego;None;20
Entry-Level Marketing Statistician;Salford Systems;San Diego;None;30+
Machine Learning Engineer;NTENT;Carlsbad;3.5;30+
Director or Sr. Manager, Artificial Intelligence / Machine L...;Inseego;San Diego;3.6;30+
Software Engineer(Clinical NLP/Java);ForeSee Medical;San Diego;None;16
Regional Head of Business Development - AI & Machine Learnin...;Xen.ai;San Diego;None;26
Senior Research Scientist / Engineer - Machine Learning;Brain Corp;San Diego;None;30+
Manager, Statistical Programmer;Xencor;San Diego;None;9
Lead Analytic Scientist – (Applied AI and Machine Learning);Master Staffing Solutions;San Diego;None;30+
Principal Statistical Programmer;Mirati Therapeutics Inc;San Diego;None;30+
