Job Title;Company Name;Job City;Job Rating;Job Post Date
Data Scientist, Admissions;Y Combinator;San Francisco;None;11
Data Scientist - San Francisco, CA;Pacific Gas And Electric Company;San Francisco;3.9;4
Data Scientist;University of California San Francisco;San Francisco;4.2;30+
Data Scientist;Opendoor;San Francisco;2.9;9
Clinical Data Scientist;Hinge Health;San Francisco;None;10
Data Scientist;Blue Owl;San Francisco;None;30+
Data Scientist;Spin;San Francisco;3.9;30+
Associate Data Scientist;tunein;San Francisco;3.9;8
Data Scientist 1;Autodesk;San Francisco;4.1;30+
Data Scientist - Analytics;Plaid;San Francisco;4.0;10
Senior Data Scientist - San Francisco, CA;Pacific Gas And Electric Company;San Francisco;3.9;4
Applied Data Scientist;Yelp;San Francisco;3.5;30+
Data Scientist;Figure Technologies;San Francisco;None;10
Data Scientist - Nationwide Opportunities;Amazon Web Services, Inc.;San Francisco;3.6;5
Research Data Scientist;University of California San Francisco;San Francisco;4.2;30+
Data Scientist - Quantitative Strategy;Uber;San Francisco;3.8;30+
Data Scientist;Hive;San Francisco;3.7;30+
Data Scientist (Full Time) - United States;Cisco Systems;San Jose;4.1;20
Data Scientist;Twitch Interactive, Inc.;San Francisco;3.6;30+
Data Scientist;BICP;San Francisco;None;30+
Data Scientist II;Zillow Group;San Francisco;3.8;19
Data Scientist;Grammarly, Inc.;San Francisco;None;30+
Measurement Data Scientist (SF);Pinterest;San Francisco;4.2;30+
Data Scientist;Spry Health;Palo Alto;None;30+
Data Scientist;Wish;San Francisco;3.8;30+
Sr Data Scientist;Uber;San Francisco;3.8;3
Data Scientist;IBM;San Francisco;3.9;30+
Data Scientist;Woodruff Sawyer;San Francisco;3.3;30+
Senior Data Scientist;Intuit;Mountain View;4.2;1
Machine Learning Data Scientist/Engineer;Ironclad, Inc.;San Francisco;None;30+
Data Scientist;ADARA, Inc.;Palo Alto;None;4
2020 PhD University Graduate - Data Scientist - Uber Eats (S...;Uber;San Francisco;3.8;30+
Data Scientist;Affinity.co;San Francisco;None;30+
Associate Data Scientist;Travis Credit Union;Vacaville;3.6;30+
Data Analyst / Data Scientist;Khan Academy;Mountain View;4.1;16
Data Scientist - Inference;Faire;San Francisco;None;18
Data Scientist;SoftVision - North America & UK;Oakland;None;15
Data Scientist;Brightidea;San Francisco;4.5;30+
Data Scientist;Clarivate Analytics;San Francisco;3.4;12
Data Scientist;IHS Markit;San Francisco;3.6;16
English Speakers - Data Annotators;TransPerfect;San Francisco;3.0;30+
Data Scientist (Predictive Services);Opendoor;San Francisco;2.9;30+
Data Scientist, Legal;Facebook;San Francisco;4.2;30+
Clinical Lab Scientist II, Data Review (Tues-Sat);Myriad Women's Health;South San Francisco;3.6;10
Applied Scientist I;Amazon.com Services LLC;San Francisco;3.6;1
Data Scientist;Avani Technology Solutions Inc;San Francisco;4.6;30+
Data Scientist, Product Analytics;Scaleapi;San Francisco;None;30+
Data Scientist - Uber Eats (SF);Uber;San Francisco;3.8;30+
Data Scientist, Capital;Square;San Francisco;3.7;30+
Data Scientist;Chevron;Richmond;4.0;1
Applied Scientist;Yelp;San Francisco;3.5;2
Associate Data Scientist;Travis Credit Union;Vacaville;3.6;30+
Data Scientist, Product Analytics;Scaleapi;San Francisco;None;30+
Data Scientist;Chevron;Richmond;4.0;1
Data Scientist;Logic20/20;San Francisco;3.5;30+
Data Scientist (Predictive Services);Opendoor;San Francisco;2.9;30+
Applied Scientist I;Amazon.com Services LLC;San Francisco;3.6;1
Data Scientist;Avani Technology Solutions Inc;San Francisco;4.6;30+
Data Scientist;Proofpoint;Sunnyvale;3.9;12
Principal Data Scientist;Intuit;Mountain View;4.2;1
Data Scientist - Real World Data, Personalized Healthcare (P...;GENENTECH;South San Francisco;4.1;2
Data Scientist;Blueshift;San Francisco;None;30+
Sr Data Analyst;Uber;San Francisco;3.8;4
Data Scientist;CipherTrace;San Francisco Bay Area;None;30+
Principal Data Scientist;Pacific Gas And Electric Company;San Francisco;3.9;4
Data Scientist;Unlearn.AI;San Francisco;None;30+
Senior Data Scientist, Business Analytics;Intuit;Mountain View;4.2;1
Senior Data Scientist - Nationwide Opportunities;Amazon Web Services, Inc.;San Francisco;3.6;5
Data Scientist / Data Engineer;Thunder;San Francisco;4.4;30+
Data Scientist;Gap Inc.;San Francisco;3.8;30+
People Data Scientist;Uber;San Francisco;3.8;30+
Data Scientist;PayPal;San Jose;3.9;4
Data Scientist I;Frederick National Laboratory;San Francisco;2.7;3
Data Scientist - Rides;Uber;San Francisco;3.8;30+
Data Scientist;Stanford University;Stanford;4.2;26
Data Scientist;Facebook;Fremont;4.2;30+
Sr. Data Scientist;Zumper;San Francisco;3.3;30+
Data Scientist;Amazon Web Services, Inc.;San Francisco;3.6;30+
Chinese Speakers - Data Annotators;TransPerfect;San Francisco;3.0;30+
Data Scientist;Scaleapi;San Francisco;None;30+
Data Scientist - Deep Learning;The Climate Corporation;San Francisco;3.6;30+
Senior Data Scientist;Netflix;Los Gatos;3.9;9
NLP Data Scientist - Proactive;Apple;Santa Clara Valley;4.2;30+
Geospatial Data Scientist;Ceres Imaging;Oakland;None;30+
Data Scientist;California State University;San Jose;4.3;30+
Paid Summer Intern - Graduate, Data Scientist;Levi Strauss & Co.;San Francisco;3.9;30+
Data Scientist, Business Analytics;Scaleapi;San Francisco;None;30+
Data Scientist - Preanalytical Research;Freenome Holdings;South San Francisco;None;8
2020 PhD Data Scientist Internship - Rides;Uber;San Francisco;3.8;30+
Data Scientist (ML Evaluation in Health Sensing);Apple;Santa Clara Valley;4.2;9
Data Scientist;Figure;San Francisco;None;30+
